| searchIndex     | searchRa        | searchDec       | ned_name                     | ra              | dec             | object_type     | redshift        | 
| :-------------- | :-------------- | :-------------- | :--------------------------- | :-------------- | :-------------- | :-------------- | :-------------- | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005309.33+085359.3 | 00:53:09.34     | +08:53:59.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005315.77+085453.7 | 00:53:15.78     | +08:54:53.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00525459+0853070      | 00:52:54.59     | +08:53:07.1     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005307.63+085132.2 | 00:53:07.63     | +08:51:32.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005305.59+085118.7 | 00:53:05.60     | +08:51:18.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00530613+0857590      | 00:53:06.12     | +08:57:59.2     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005259.08+085849.6 | 00:52:59.08     | +08:58:49.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005306.42+085923.3 | 00:53:06.43     | +08:59:23.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005245.94+085318.9 | 00:52:45.95     | +08:53:18.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005318.75+085105.8 | 00:53:18.76     | +08:51:05.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005300.08+085937.9 | 00:53:00.08     | +08:59:37.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005326.38+085447.8 | 00:53:26.09     | +08:54:52.4     | Blue*           |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005313.46+085935.3 | 00:53:13.46     | +08:59:35.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005326.94+085411.6 | 00:53:26.94     | +08:54:11.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005321.46+085057.0 | 00:53:21.47     | +08:50:57.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005243.13+085308.5 | 00:52:43.13     | +08:53:08.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005327.46+085631.8 | 00:53:27.46     | +08:56:31.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005310.20+084848.4 | 00:53:10.20     | +08:48:48.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005301.49+084826.8 | 00:53:01.49     | +08:48:26.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005324.97+085043.4 | 00:53:24.98     | +08:50:43.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005320.00+084922.6 | 00:53:20.01     | +08:49:22.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005247.20+084923.7 | 00:52:47.20     | +08:49:23.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005259.29+090123.4 | 00:52:59.29     | +09:01:23.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005319.76+090031.8 | 00:53:19.77     | +09:00:31.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005304.42+090146.6 | 00:53:04.43     | +09:01:46.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005239.06+085112.4 | 00:52:39.06     | +08:51:12.5     | UvS             |                 | 
